,date,likes,rts,text,polarity,subjectivity
50,15-Nov-2020,103432.0,17135.0,great job emily,0.8,0.75
51,15-Nov-2020,334704.0,58865.0,john bolton was one of the dumbest people in government that i ve had the pleasure to work with a sullen dull and quiet guy he added nothing to national security except gee let s go to war also illegally released much classified information a real dope,-0.07833333333333335,0.36666666666666664
52,15-Nov-2020,56847.0,12054.0,,0.0,0.0
53,15-Nov-2020,60405.0,12787.0,,0.0,0.0
54,15-Nov-2020,104516.0,25732.0,,0.0,0.0
55,15-Nov-2020,130817.0,22543.0,rudy will be interviewed by at 10 00 a m now,0.0,0.0
56,15-Nov-2020,173057.0,33542.0,progress,0.0,0.0
57,15-Nov-2020,553729.0,108370.0,he only won in the eyes of the fake news media i concede nothing we have a long way to go this was a rigged election,-0.18333333333333335,0.7999999999999999
58,15-Nov-2020,576341.0,92070.0,rigged election we will win,0.8,0.4
59,15-Nov-2020,0.0,13470.0,rt operation warp speed will become greatest achievement sorry democrats and sleepy trumpfo,0.25,1.0
60,15-Nov-2020,0.0,16099.0,rt truth versus lies prominent attorney lin woods tells america why he joined trump s election team,0.5,1.0
61,15-Nov-2020,0.0,14304.0,rt breathtaking abuse republican attorneys general file amicus brief urging scotus to rule on pennsylvania mail in ballot,0.35000000000000003,0.611111111111111
62,15-Nov-2020,0.0,8477.0,rt in russia hoax probe fired fbi deputy director mccabe gives ludicrous defense of misconduct,0.0,0.0
63,15-Nov-2020,0.0,10950.0,rt jarrett eyewitnesses and sworn affidavits are evidence in a court of law,0.0,0.0
64,15-Nov-2020,0.0,8559.0,rt pa postal worker battling wapo democrats on coming forward as usps whistleblower,0.0,0.0
65,15-Nov-2020,0.0,9157.0,rt justice alito pandemic resulted in previously unimaginable restrictions on individual liberty,-0.08333333333333333,0.2833333333333333
66,15-Nov-2020,0.0,13573.0,rt watch greg s latest monologue gutfeld,0.5,0.9
67,15-Nov-2020,196041.0,36501.0,watch interview on this morning at 10 00 doing a great job exposing the rigged election hoax,0.8,0.75
68,15-Nov-2020,0.0,6540.0,rt what is the future for mail in ballots former speaker of the house and discuss tonight f,0.0,0.0625
69,15-Nov-2020,0.0,7045.0,rt a fraud investigation in watters world and to break down the legal challenges as team trump,0.022222222222222213,0.24444444444444446
70,15-Nov-2020,0.0,6897.0,rt president trump is not going away anytime soon as he is said to be the head of the gop for decades to come congressman,0.0,0.0
71,15-Nov-2020,0.0,8279.0,rt was joe biden installed many people asking that question after big tech big media and big money are trying to drag him,0.08,0.17416666666666664
72,15-Nov-2020,267754.0,53347.0,all of the mechanical glitches that took place on election night were really them getting caught trying to steal votes they succeeded plenty however without getting caught mail in elections are a sick joke,-0.2571428571428571,0.5285714285714286
73,15-Nov-2020,153195.0,36568.0,he won because the election was rigged no vote watchers or observers allowed vote tabulated by a radical left privately owned company dominion with a bad reputation amp bum equipment that couldn t even qualify for texas which i won by a lot the fake amp silent media amp more,-0.11666666666666663,0.44027777777777777
74,15-Nov-2020,0.0,9850.0,rt you should want every legal vote to count let every legal challenge be heard says,0.2,0.2
75,15-Nov-2020,0.0,14547.0,rt jordan says the democrats spent four years investigating the russia hoax but they don t want to take four weeks,-0.1,0.1
76,15-Nov-2020,0.0,11914.0,rt the election results in several battleground states continue to be under intense focus as allegations of voter fraud are,0.1,0.5
77,15-Nov-2020,0.0,6855.0,rt joins me to discuss how he has been leading the trump campaign recount team in georgia and how the runof,0.0,0.0
78,15-Nov-2020,0.0,7224.0,rt lewandowski is on to talk about president trump s legal fight over alleged fraud and the counting process,0.05,0.15000000000000002
79,15-Nov-2020,100013.0,23829.0,doing a great job in georgia their recount is a scam means nothing must see fraudulent signatures which is prohibited by stupidly signed amp unconstitutional consent decree,5.551115123125783e-17,0.875
80,15-Nov-2020,101239.0,22307.0,this is why daytime and weekend daytime have lost their ratings they are abysmal having mayor pete of indiana s most unsuccessful city by far on more than republicans many great alternatives are forming amp exist try amp among others,0.4800000000000001,0.65
81,15-Nov-2020,0.0,23026.0,rt the only people worse are the media who have essentially been encouraging this kind of behavior by calling anyone right,0.09714285714285713,0.6671428571428571
82,15-Nov-2020,152334.0,48133.0,tax filings reveal biden cancer charity spent millions on salaries zero on research via,-0.1,0.1
83,15-Nov-2020,153813.0,28094.0,thank you mark but the fake news media will never say it,-0.5,1.0
84,15-Nov-2020,0.0,38244.0,rt,0.0,0.0
85,15-Nov-2020,129708.0,27980.0,the fake news media hardly even discussed the tens of thousands of people that came to d c formed organically and in many parts of the country,-0.09722222222222225,0.6805555555555555
86,15-Nov-2020,121323.0,26924.0,thank you mollie the free and fair press is gone in our country they only write about what they want to write about suppression,0.3666666666666667,0.9
87,15-Nov-2020,151418.0,34861.0,the silent media is the enemy of the people,0.0,0.1
88,15-Nov-2020,0.0,14950.0,rt key difference between dem and gop claims of election fraud dem claims get amplified eagerly by every organ of mainstream est,0.0,1.0
89,15-Nov-2020,110702.0,33512.0,human radical left garbage did this being arrested now,0.0,0.05
90,15-Nov-2020,0.0,26626.0,rt this is news,0.0,0.0
91,15-Nov-2020,262875.0,58920.0,radical left antifa scum was easily rebuffed today by the big d c maga rally crowd only to return at night after 99 of the crowd had left to assault elderly people and families police got there but late mayor is not doing her job,-0.023809523809523805,0.41904761904761906
92,15-Nov-2020,334859.0,73997.0,antifa scum ran for the hills today when they tried attacking the people at the trump rally because those people aggressively fought back antifa waited until tonight when 99 were gone to attack innocent maga people dc police get going do your job and don t hold back,0.05,0.275
93,15-Nov-2020,327364.0,67219.0,i look forward to mayor giuliani spearheading the legal effort to defend our right to free and fair elections rudy giuliani joseph digenova victoria toensing sidney powell and jenna ellis a truly great team added to our other wonderful lawyers and representatives,0.4658163265306122,0.6515306122448979
